* This data file is generated from file eppaput_2004ghg.gms
* This was generated on
* DATE:  05/14/13
* TIME:  16:22:16
* With
* SIMULATION: EPPA5 --- Baseline scenario
* The data generated is used in EPPA6 output for IGSM 2.2
* This is used along with 1997_e5.dat

TABLE CHM2004
                agr                           n_agr
CO2.USA       -8.7067431614101E-01           1.7529416107165E+03
CO2.CAN        4.6611382462749E-01           1.6364232621479E+02
CO2.MEX        3.8595033005979E+00           1.1412220913073E+02
CO2.JPN        5.6239028153395E+00           4.0459684628567E+02
CO2.ANZ        2.7217203506483E+00           1.1535924198755E+02
CO2.EUR        9.6996924325183E+00           1.3349662171799E+03
CO2.ROE        1.0146071864095E+01           3.0142946521213E+02
CO2.RUS       -8.9776824825678E+00           4.2101074928177E+02
CO2.ASI        5.4725828943847E+01           5.0647531153804E+02
CO2.CHN        3.9339870226919E+01           1.4797426460593E+03
CO2.IND        1.4960225786405E+00           3.3601489071875E+02
CO2.BRA        3.9605429325049E+01           1.0339400143886E+02
CO2.AFR        4.1243798617387E+01           2.6212682277328E+02
CO2.MES        5.1732161855575E+00           3.8053618835662E+02
CO2.LAM        3.5626241497642E+01           1.8327316299585E+02
CO2.REA        2.6721709312507E+00           1.0203937492817E+02
CH4.USA        8.9391910354958E+00           2.4587957003705E+01
CH4.CAN        1.6392422175886E+00           3.9007284877541E+00
CH4.MEX        2.5868498603422E+00           2.3378207839591E+00
CH4.JPN        1.4519997626842E+00           1.3092388302479E+00
CH4.ANZ        4.9917727605197E+00           2.9438560123138E+00
CH4.EUR        1.0648371317492E+01           1.5934352987087E+01
CH4.ROE        4.7605906461163E+00           1.0389160458582E+01
CH4.RUS        2.9363716201886E+00           2.3708794134450E+01
CH4.ASI        1.0541358958568E+01           1.1164963192533E+01
CH4.CHN        2.3884785735658E+01           3.5065377645294E+01
CH4.IND        1.7690115286626E+01           9.4683040355770E+00
CH4.BRA        1.6785787179757E+01           3.8228851508967E+00
CH4.AFR        2.1736139376247E+01           1.2137483768892E+01
CH4.MES        1.6748688318067E+00           1.1854822700160E+01
CH4.LAM        1.3261358269890E+01           5.6816887700786E+00
CH4.REA        1.6032885847257E+01           4.9183415861086E+00
N2O.USA        6.7424714614547E-01           3.9119524511702E-01
N2O.CAN        1.8564161594253E-01           3.8809578123041E-02
N2O.MEX        1.6704296210784E-01           1.8006090153454E-02
N2O.JPN        3.7089449053470E-02           5.0514362922774E-02
N2O.ANZ        3.4136438374085E-01           3.2781961053053E-02
N2O.EUR        6.7126965985534E-01           3.8627197639581E-01
N2O.ROE        3.5598535803494E-01           1.0168109764280E-01
N2O.RUS        2.5699613841077E-01           8.7806021211852E-02
N2O.ASI        5.6195871351019E-01           9.4894912241639E-02
N2O.CHN        1.2517095165671E+00           2.4393135584874E-01
N2O.IND        5.8981045874937E-01           7.8004018787914E-02
N2O.BRA        7.5152845237988E-01           4.4366403375152E-02
N2O.AFR        1.2793837036907E+00           1.0315076524800E-01
N2O.MES        1.5804027676464E-01           3.6805169522564E-02
N2O.LAM        5.8721300356324E-01           4.0661518056397E-02
N2O.REA        4.6362543556296E-01           2.6114255750887E-02
PFC.USA        0.0000000000000E+00           1.3510890710468E+00
PFC.CAN        0.0000000000000E+00           9.3216312799952E-01
PFC.MEX        0.0000000000000E+00           0.0000000000000E+00
PFC.JPN        0.0000000000000E+00           1.2406606327011E+00
PFC.ANZ        0.0000000000000E+00           1.5428896833922E-01
PFC.EUR        0.0000000000000E+00           1.8750192169953E+00
PFC.ROE        0.0000000000000E+00           1.9758796333475E-01
PFC.RUS        0.0000000000000E+00           4.0326568333309E+00
PFC.ASI        0.0000000000000E+00           1.2798176787316E+00
PFC.CHN        0.0000000000000E+00           1.5649712960071E+00
PFC.IND        0.0000000000000E+00           2.9775620380502E-01
PFC.BRA        0.0000000000000E+00           7.9350058831391E-01
PFC.AFR        0.0000000000000E+00           4.0365904464342E-01
PFC.MES        0.0000000000000E+00           1.0324292203001E-01
PFC.LAM        0.0000000000000E+00           5.9554069011230E-02
PFC.REA        0.0000000000000E+00           0.0000000000000E+00
SF6.USA        0.0000000000000E+00           1.7403983459595E+00
SF6.CAN        0.0000000000000E+00           1.6502972204505E-01
SF6.MEX        0.0000000000000E+00           2.1351636065842E-02
SF6.JPN        0.0000000000000E+00           1.9822499143454E-01
SF6.ANZ        0.0000000000000E+00           2.1396909464077E-02
SF6.EUR        0.0000000000000E+00           8.3991560280811E-01
SF6.ROE        0.0000000000000E+00           7.0517226502149E-02
SF6.RUS        0.0000000000000E+00           3.8952474872224E-01
SF6.ASI        0.0000000000000E+00           4.2278003480362E-01
SF6.CHN        0.0000000000000E+00           1.1150439741670E+00
SF6.IND        0.0000000000000E+00           1.7889167843799E-01
SF6.BRA        0.0000000000000E+00           4.1259461345519E-02
SF6.AFR        0.0000000000000E+00           1.4433850881571E-01
SF6.MES        0.0000000000000E+00           2.4935009849269E-01
SF6.LAM        0.0000000000000E+00           2.5424998074850E-02
SF6.REA        0.0000000000000E+00           2.9152792385992E-02
HFC.USA        0.0000000000000E+00           1.3012595823995E+02
HFC.CAN        0.0000000000000E+00           7.8772603902260E+00
HFC.MEX        0.0000000000000E+00           2.8758306685292E+00
HFC.JPN        0.0000000000000E+00           2.8318834366102E+01
HFC.ANZ        0.0000000000000E+00           4.1044198687593E+00
HFC.EUR        0.0000000000000E+00           5.4291185507175E+01
HFC.ROE        0.0000000000000E+00           6.1699304510012E+00
HFC.RUS        0.0000000000000E+00           1.6041100790337E+01
HFC.ASI        0.0000000000000E+00           5.3532896522319E+00
HFC.CHN        0.0000000000000E+00           7.2237568892220E+01
HFC.IND        0.0000000000000E+00           2.0085428394469E+00
HFC.BRA        0.0000000000000E+00           3.2619190971439E+00
HFC.AFR        0.0000000000000E+00           9.8242165714895E-01
HFC.MES        0.0000000000000E+00           1.5337504386916E+00
HFC.LAM        0.0000000000000E+00           2.3853091904427E+00
HFC.REA        0.0000000000000E+00           1.6976294586200E-01
 CO.USA        3.7079442454846E+00           4.2184342571426E+01
 CO.CAN        1.0085367397598E+01           3.7663150309376E+00
 CO.MEX        2.6767605568125E+00           2.2249496028366E+00
 CO.JPN        2.5082901367238E-01           8.7348067637848E+00
 CO.ANZ        1.9223324090608E+01           1.9845670821280E+00
 CO.EUR        2.6686093119460E+00           1.8323591774000E+01
 CO.ROE        5.7818705385756E+00           6.5215187208952E+00
 CO.RUS        1.0785066321917E+01           7.4624234994813E+00
 CO.ASI        4.3229730716576E+01           1.4976625512432E+01
 CO.CHN        2.0788521756540E+00           5.5466512369118E+01
 CO.IND        9.1335650864788E+00           1.1152678413355E+01
 CO.BRA        6.2942783527392E+01           7.1051146168500E+00
 CO.AFR        1.7839200622000E+02           1.2231718168071E+01
 CO.MES        4.5461845158811E-01           1.1040827582661E+01
 CO.LAM        4.1233267086264E+01           4.9843211865570E+00
 CO.REA        3.6475877681543E+01           3.0569539211356E+00
VOC.USA        2.4368194091069E-01           9.6131486954337E+00
VOC.CAN        5.5407528183099E-01           1.2282015322913E+00
VOC.MEX        1.9119647440059E-01           2.2955867787812E+00
VOC.JPN        2.2871140505799E-02           2.4490948703434E+00
VOC.ANZ        1.0784161852928E+00           6.5138824674952E-01
VOC.EUR        2.4592350928323E-01           9.8194024162415E+00
VOC.ROE        3.8975740555433E-01           3.1452892774983E+00
VOC.RUS        6.3539828168672E-01           6.7718197542570E+00
VOC.ASI        3.1594249511689E+00           1.1802869401860E+01
VOC.CHN        1.8544919576201E-01           1.1528053178168E+01
VOC.IND        6.8406883978663E-01           4.0536458215236E+00
VOC.BRA        4.6681681812639E+00           3.3110447035780E+00
VOC.AFR        1.1220757285656E+01           7.6649275993233E+00
VOC.MES        4.7874707299171E-02           1.1426941320792E+01
VOC.LAM        3.0954247928224E+00           5.2880044627681E+00
VOC.REA        2.6524986514297E+00           1.2303888860271E+00
NOX.USA        5.6794348719924E-01           1.1496911776666E+01
NOX.CAN        3.6517301190080E-01           1.1608656216760E+00
NOX.MEX        1.6097050219599E-01           9.3203207800013E-01
NOX.JPN        4.7271454476633E-02           1.7492392746646E+00
NOX.ANZ        8.0866544591548E-01           1.1856741775672E+00
NOX.EUR        6.3779863079493E-01           7.8296485539265E+00
NOX.ROE        4.1423594592495E-01           2.0229223941870E+00
NOX.RUS        4.9344603840351E-01           3.5287333186387E+00
NOX.ASI        1.4625500933010E+00           4.9566637458222E+00
NOX.CHN        1.0402496026592E+00           1.9015066662664E+01
NOX.IND        7.0880702412361E-01           6.7421064495251E+00
NOX.BRA        1.7560596893486E+00           1.2101151285211E+00
NOX.AFR        5.7889257875559E+00           3.3604120976218E+00
NOX.MES        1.0327231306918E-01           3.7222266076918E+00
NOX.LAM        1.1663190742369E+00           2.1311638848974E+00
NOX.REA        1.1755915825074E+00           9.3213453342245E-01
SO2.USA        2.8836105988464E-02           1.0888248744121E+01
SO2.CAN        8.9712121804864E-02           1.9722920481871E+00
SO2.MEX        1.5290162020582E-02           1.7863469359274E+00
SO2.JPN        5.8062249032405E-03           1.3493504647757E+00
SO2.ANZ        1.1099248438982E-01           2.5873572876510E+00
SO2.EUR        3.4679438990552E-02           9.7351298304122E+00
SO2.ROE        3.5455842215268E-02           6.5748102291314E+00
SO2.RUS        7.0461037626717E-02           6.2233776609896E+00
SO2.ASI        2.3943981127657E-01           6.7971739812042E+00
SO2.CHN        2.8367689291017E-01           3.0468698491182E+01
SO2.IND        4.1489992928037E-02           6.5514100192709E+00
SO2.BRA        3.4609207329252E-01           1.4026206733531E+00
SO2.AFR        1.0006887776264E+00           5.1046255017287E+00
SO2.MES        3.9754978123864E-03           6.0530925983919E+00
SO2.LAM        2.3500169377933E-01           4.8876385240774E+00
SO2.REA        1.9647381594163E-01           1.0649036779842E+00
 BC.USA        7.5608315994151E-02           1.9932382253847E-01
 BC.CAN        5.5532268097993E-02           2.1311666372245E-02
 BC.MEX        3.9009396768236E-02           3.0301893231474E-02
 BC.JPN        1.2101142253618E-02           5.7357309580320E-02
 BC.ANZ        1.6615645338978E-01           1.9469343524384E-02
 BC.EUR        8.5198492616609E-02           2.6084561511308E-01
 BC.ROE        3.9408573586195E-01           1.3931489530603E-01
 BC.RUS        9.9334429298425E-02           7.1239351340653E-02
 BC.ASI        1.2809574797142E-01           2.1791770065009E-01
 BC.CHN        1.7480071301937E-01           1.0764906172472E+00
 BC.IND        8.5970393866162E-02           3.9225379909096E-01
 BC.BRA        5.1005991531648E-01           9.2754781196112E-02
 BC.AFR        1.4638267919400E+00           3.8742287883589E-01
 BC.MES        1.1922403206164E-02           3.8901802503824E-02
 BC.LAM        3.6068852663449E-01           1.1010051452241E-01
 BC.REA        1.5876681693707E-01           2.2114753594134E-01
 OC.USA        8.3474024537172E-01           3.6805296610037E-01
 OC.CAN        6.2056701525765E-01           4.0599246185256E-02
 OC.MEX        2.6924716044503E-01           9.2657112228462E-02
 OC.JPN        1.2287251852846E-02           6.2468031787936E-02
 OC.ANZ        1.1221447782325E+00           3.3182422019410E-02
 OC.EUR        6.7133058529439E-01           5.0983657973570E-01
 OC.ROE        9.8945508763062E-02           4.6033632678052E-01
 OC.RUS        1.1728488422236E+00           2.3013151426119E-01
 OC.ASI        8.2632669193738E-01           4.8556887774561E-01
 OC.CHN        7.3124582375822E-01           2.2275735159105E+00
 OC.IND        4.9655005396421E-01           1.1627724501156E+00
 OC.BRA        3.7268973159836E+00           2.8156146308214E-01
 OC.AFR        1.0445228225234E+01           1.2047852698031E+00
 OC.MES        4.0143361096857E-02           8.2458908864256E-02
 OC.LAM        2.6422486177436E+00           3.2877311111589E-01
 OC.REA        1.1164590561981E+00           6.8979151240846E-01
AMO.USA        3.1871145939072E+00           2.4766192301618E-01
AMO.CAN        6.8243626217437E-01           3.2119290109070E-02
AMO.MEX        7.5321947561531E-01           1.5640932411077E-02
AMO.JPN        3.2572031440573E-01           2.8821508645195E-02
AMO.ANZ        1.0092344396077E+00           1.3200570051664E-02
AMO.EUR        5.2573680290909E+00           2.0428741428548E-01
AMO.ROE        1.8584121557156E+00           4.7753985785149E-02
AMO.RUS        1.0831405703781E+00           2.6695905582914E-02
AMO.ASI        2.5532928337788E+00           8.5416657713140E-01
AMO.CHN        9.9230327425083E+00           8.7638114337556E-01
AMO.IND        4.0804147648637E+00           3.5657483167863E-01
AMO.BRA        2.8463059329454E+00           4.5273717211205E-02
AMO.AFR        4.6876740814996E+00           5.6646126898914E-01
AMO.MES        6.5806173449236E-01           1.5011848087982E-01
AMO.LAM        2.4240364861357E+00           2.4897157307286E-01
AMO.REA        2.2096652824711E+00           1.4643407637590E-01
;
