table cem_ref_e5(t,r)


	USA	CAN	MEX	JPN	ANZ	EUR	ROE	RUS	ASI	kor	idz	CHN	IND	BRA	AFR	MES	LAM	REA
												
*2005	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.000	1.00	1.00	1.00	1.00	1.00	1.00
2007	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.000	1.00	1.00	1.00	1.00	1.00	1.00
2010	0.95	0.95	1.00	0.95	0.95	0.95	0.95	0.95	1.00	1.00	1.00	0.900	1.00	1.00	1.10	1.00	1.00	1.00
2015	0.90	0.90	0.98	0.90	0.90	0.90	0.90	0.90	0.98	0.98	0.98	0.800	0.98	0.98	1.19	0.98	0.98	0.98
2020	0.85	0.85	0.97	0.85	0.85	0.85	0.85	0.85	0.97	0.97	0.97	0.600	0.97	0.97	1.27	0.97	0.97	0.97
2025	0.81	0.81	0.95	0.81	0.81	0.81	0.81	0.81	0.95	0.95	0.95	0.400	0.95	0.95	1.33	0.95	0.95	0.95
2030	0.76	0.76	0.92	0.76	0.76	0.76	0.76	0.76	0.92	0.92	0.92	0.200	0.92	0.92	1.36	0.92	0.92	0.92
2035	0.72	0.72	0.89	0.72	0.72	0.72	0.72	0.72	0.89	0.89	0.89	0.110	0.89	0.89	1.37	0.89	0.89	0.89
2040	0.69	0.69	0.85	0.69	0.69	0.69	0.69	0.69	0.85	0.85	0.85	0.090	0.85	0.85	1.35	0.85	0.85	0.85
2045	0.65	0.65	0.81	0.65	0.65	0.65	0.65	0.65	0.81	0.81	0.81	0.070	0.81	0.81	1.31	0.81	0.81	0.81
2050	0.62	0.62	0.77	0.62	0.62	0.62	0.62	0.62	0.77	0.77	0.77	0.050	0.77	0.77	1.25	0.77	0.77	0.77
2055	0.58	0.58	0.72	0.58	0.58	0.58	0.58	0.58	0.72	0.72	0.72	0.040	0.72	0.72	1.17	0.72	0.72	0.72
2060	0.55	0.55	0.68	0.55	0.55	0.55	0.55	0.55	0.68	0.68	0.68	0.030	0.68	0.68	1.07	0.68	0.68	0.68
2065	0.52	0.52	0.63	0.52	0.52	0.52	0.52	0.52	0.63	0.63	0.63	0.020	0.62	0.63	0.96	0.63	0.63	0.63
2070	0.50	0.50	0.58	0.50	0.50	0.50	0.50	0.50	0.58	0.58	0.58	0.010	0.55	0.58	0.84	0.58	0.58	0.58
2075	0.47	0.47	0.54	0.47	0.47	0.47	0.47	0.47	0.54	0.54	0.54	0.009	0.50	0.54	0.73	0.54	0.54	0.54
2080	0.45	0.45	0.49	0.45	0.45	0.45	0.45	0.45	0.49	0.49	0.49	0.007	0.44	0.49	0.61	0.49	0.49	0.49
